"48920","7251","","Decision Sciences","1","48920","10.1007/s00780-013-0220-9","7","2014","0949-2984","Beyond cash-additive risk measures: When changing the numéraire fails","Finance and Stochastics","bwl",\N
"48921","7251","","Computer Science","1","48921","10.1007/s00780-013-0222-7","1","2014","0949-2984","Bottleneck options","Finance and Stochastics","bwl",\N
"48922","7251","","Economics, Econometrics and Finance","1","48922","10.1007/s00780-016-0312-4","4","2016","0949-2984","Liquidity management with decreasing returns to scale and secured credit line","Finance and Stochastics","bwl",\N
"48923","7252","","Business, Management and Accounting","1","48923","10.1007/s00780-016-0313-3","4","2016","0949-2984","Short-term asymptotics for the implied volatility skew under a stochastic volatility model with Lévy jumps","Finance and Stochastics","bwl",\N
"48924","7253","","Business, Management and Accounting","8","48924","10.1007/s00780-018-0355-9","5","2018","0949-2984","Approximation of forward curve models in commodity markets with arbitrage-free finite-dimensional models","Finance and Stochastics","bwl",\N
"48925","7253","","Engineering","1","48925","10.1007/s00780-016-0301-7","1","2016","0949-2984","A Feynman–Kac-type formula for Lévy processes with discontinuous killing rates","Finance and Stochastics","bwl",\N
"48926","7253","","Social Sciences","1","48926","10.1007/s00780-011-0155-y","11","2012","0949-2984","Strict local martingale deflators and valuing American call-type options","Finance and Stochastics","bwl",\N
"48927","7253","","Unspecified","2","48927","10.1007/s00780-013-0208-5","9","2013","0949-2984","Multilevel dual approach for pricing American style derivatives","Finance and Stochastics","bwl",\N
"48928","7253","","Economics, Econometrics and Finance","1","48928","10.1007/s00780-012-0180-5","15","2012","0949-2984","Continuous-time trading and the emergence of probability","Finance and Stochastics","bwl",\N
"48929","7254","","Business, Management and Accounting","35","48929","10.1007/s00780-014-0246-7","6","2015","0949-2984","Portfolio optimization with insider’s initial information and counterparty risk","Finance and Stochastics","bwl",\N
"48930","7254","","Economics, Econometrics and Finance","1","48930","10.1007/s00780-017-0323-9","7","2017","0949-2984","Equilibrium in risk-sharing games","Finance and Stochastics","bwl",\N
"48931","7254","","Unspecified","5","48931","10.1007/s00780-016-0322-2","2","2017","0949-2984","Change of numeraire in the two-marginals martingale transport problem","Finance and Stochastics","bwl",\N
"48932","7254","","Engineering","2","48932","10.1007/s00780-017-0349-z","1","2018","0949-2984","An enlargement of filtration formula with applications to multiple non-ordered default times","Finance and Stochastics","bwl",\N
"48933","7254","","Medicine and Dentistry","1","48933","10.1007/s00780-011-0164-x","5","2012","0949-2984","Small transaction costs, absence of arbitrage and consistent price systems","Finance and Stochastics","bwl",\N
"48934","7254","","Computer Science","4","48934","10.1007/s00780-011-0166-8","3","2012","0949-2984","Singular risk-neutral valuation equations","Finance and Stochastics","bwl",\N
"48935","7254","","Social Sciences","3","48935","10.1007/s00780-012-0175-2","6","2012","0949-2984","Long-term optimal portfolios with floor","Finance and Stochastics","bwl",\N
"48936","7254","","Psychology","3","48936","10.1007/s00780-012-0178-z","13","2013","0949-2984","Asymptotic and exact pricing of options on variance","Finance and Stochastics","bwl",\N
"48937","7255","","Business, Management and Accounting","24","48937","10.1007/s00780-012-0186-z","18","2013","0949-2984","Optimal dividend policies with transaction costs for a class of jump-diffusion processes","Finance and Stochastics","bwl",\N
"48938","7255","","Economics, Econometrics and Finance","8","48938","10.1007/s00780-012-0173-4","10","2012","0949-2984","An optimal stopping problem with a reward constraint","Finance and Stochastics","bwl",\N
"48939","7255","","Decision Sciences","1","48939","10.1007/s00780-015-0262-2","3","2015","0949-2984","Approximate hedging for nonlinear transaction costs on the volume of traded assets","Finance and Stochastics","bwl",\N
"48940","7255","","Unspecified","3","48940","10.1007/s00780-013-0223-6","8","2014","0949-2984","Asymptotics of implied volatility to arbitrary order","Finance and Stochastics","bwl",\N
"48941","7255","","Engineering","2","48941","10.1007/s00780-018-0360-z","16","2018","0949-2984","The microstructural foundations of leverage effect and rough volatility","Finance and Stochastics","bwl",\N
"48942","7255","","Computer Science","2","48942","10.1007/s00780-013-0210-y","29","2014","0949-2984","Transaction costs, trading volume, and the liquidity premium","Finance and Stochastics","bwl",\N
"48943","7256","","Business, Management and Accounting","27","48943","10.1007/s00780-014-0238-7","9","2014","0949-2984","Superreplication under model uncertainty in discrete time","Finance and Stochastics","bwl",\N
"48944","7256","","Economics, Econometrics and Finance","4","48944","10.1007/s00780-015-0277-8","0","2015","0949-2984","The distribution of the maximum of a variance gamma process and path-dependent option pricing","Finance and Stochastics","bwl",\N
"48945","7256","","Decision Sciences","1","48945","10.1007/s00780-013-0212-9","5","2013","0949-2984","Variation and share-weighted variation swaps on time-changed Lévy processes","Finance and Stochastics","bwl",\N
"48946","7256","","Unspecified","5","48946","10.1007/s00780-015-0276-9","4","2015","0949-2984","A convergence result for the Emery topology and a variant of the proof of the fundamental theorem of asset pricing","Finance and Stochastics","bwl",\N
"48947","7256","","Engineering","3","48947","10.1007/s00780-017-0338-2","3","2017","0949-2984","Pathwise superreplication via Vovk’s outer measure","Finance and Stochastics","bwl",\N
"48948","7256","","Computer Science","4","48948","10.1007/s00780-016-0307-1","0","2016","0949-2984","Another look at the integral of exponential Brownian motion and the pricing of Asian options","Finance and Stochastics","bwl",\N
"48949","7256","","Social Sciences","7","48949","10.1007/s00780-012-0190-3","18","2012","0949-2984","Model-independent hedging strategies for variance swaps","Finance and Stochastics","bwl",\N
"48950","7256","","Psychology","7","48950","10.1007/s00780-015-0279-6","10","2016","0949-2984","Risk measures with the CxLS property","Finance and Stochastics","bwl",\N
"48951","7257","","Business, Management and Accounting","15","48951","10.1007/s00780-015-0267-x","1","2015","0949-2984","Addendum to: Multilevel dual approach for pricing American style derivatives","Finance and Stochastics","bwl",\N
"48952","7257","","Economics, Econometrics and Finance","1","48952","10.1007/s00780-015-0266-y","7","2015","0949-2984","Hedge and mutual funds’ fees and the separation of private investments","Finance and Stochastics","bwl",\N
"48953","7257","","Unspecified","6","48953","10.1007/s00780-015-0284-9","5","2016","0949-2984","Model-independent superhedging under portfolio constraints","Finance and Stochastics","bwl",\N
"48954","7257","","Engineering","3","48954","10.1007/s00780-011-0158-8","8","2012","0949-2984","Tangent Lévy market models","Finance and Stochastics","bwl",\N
"48955","7257","","Computer Science","2","48955","10.1007/s00780-011-0159-7","11","2011","0949-2984","On the calibration of local jump-diffusion asset price models","Finance and Stochastics","bwl",\N
"48956","7257","","Mathematics","2","48956","10.1007/s00780-017-0330-x","2","2017","0949-2984","The exact Taylor formula of the implied volatility","Finance and Stochastics","bwl",\N
"48957","7257","","Arts and Humanities","1","48957","10.1007/s00780-017-0351-5","2","2018","0949-2984","Shadow prices, fractional Brownian motion, and portfolio optimisation under transaction costs","Finance and Stochastics","bwl",\N
"48958","7257","","Psychology","1","48958","10.1007/s00780-013-0225-4","20","2014","0949-2984","Comparative and qualitative robustness for law-invariant risk measures","Finance and Stochastics","bwl",\N
"48959","7258","","Economics, Econometrics and Finance","1","48959","10.1007/s00780-013-0207-6","7","2013","0949-2984","A reading guide for last passage times with financial applications in view","Finance and Stochastics","bwl",\N
"48960","7259","","Business, Management and Accounting","36","48960","10.1007/s00780-011-0163-y","8","2012","0949-2984","Forward rate models with linear volatilities","Finance and Stochastics","bwl",\N
"48961","7259","","Economics, Econometrics and Finance","2","48961","10.1007/s00780-011-0165-9","16","2013","0949-2984","The dual optimizer for the growth-optimal portfolio under transaction costs","Finance and Stochastics","bwl",\N
"48962","7259","","Unspecified","6","48962","10.1007/s00780-015-0263-1","5","2015","0949-2984","On a Heath–Jarrow–Morton approach for stock options","Finance and Stochastics","bwl",\N
"48963","7259","","Engineering","3","48963","10.1007/s00780-014-0248-5","5","2015","0949-2984","Necessary and sufficient conditions in the problem of optimal investment with intermediate consumption","Finance and Stochastics","bwl",\N
"48964","7259","","Computer Science","2","48964","10.1007/s00780-014-0254-7","9","2015","0949-2984","Static hedging under maturity mismatch","Finance and Stochastics","bwl",\N
"48965","7259","","Social Sciences","3","48965","10.1007/s00780-011-0167-7","18","2012","0949-2984","Maximum entropy distributions inferred from option portfolios on an asset","Finance and Stochastics","bwl",\N
"48966","7260","","Business, Management and Accounting","1","48966","10.1007/s00780-013-0218-3","12","2014","0949-2984","On the hedging of options on exploding exchange rates","Finance and Stochastics","bwl",\N
"48967","7260","","Medicine and Dentistry","1","48967","10.1007/s00780-016-0300-8","1","2016","0949-2984","Additive subordination and its applications in finance","Finance and Stochastics","bwl",\N
"48968","7260","","Social Sciences","2","48968","10.1007/s00780-016-0304-4","6","2016","0949-2984","Polynomial diffusions and applications in finance","Finance and Stochastics","bwl",\N
"48969","7260","","Nursing and Health Professions","1","48969","10.1007/s00780-015-0271-1","3","2015","0949-2984","Discretely monitored first passage problems and barrier options: an eigenfunction expansion approach","Finance and Stochastics","bwl",\N
"48970","7260","","Economics, Econometrics and Finance","1","48970","10.1007/s00780-017-0345-3","2","2018","0949-2984","No-arbitrage under a class of honest times","Finance and Stochastics","bwl",\N
"48971","7261","","Business, Management and Accounting","2","48971","10.1007/s00780-015-0264-0","12","2015","0949-2984","The existence of dominating local martingale measures","Finance and Stochastics","bwl",\N
"48972","7261","","Economics, Econometrics and Finance","3","48972","10.1007/s00780-018-0356-8","2","2018","0949-2984","A risk-neutral equilibrium leading to uncertain volatility pricing","Finance and Stochastics","bwl",\N
"48973","7261","","Engineering","1","48973","10.1007/s00780-014-0235-x","4","2014","0949-2984","Pseudo linear pricing rule for utility indifference valuation","Finance and Stochastics","bwl",\N
"48974","7261","","Agricultural and Biological Sciences","1","48974","10.1007/s00780-012-0181-4","16","2013","0949-2984","Bubbles and crashes in a Black-Scholes model with delay","Finance and Stochastics","bwl",\N
"48975","7261","","Social Sciences","1","48975","10.1007/s00780-012-0179-y","2","2013","0949-2984","The optimal-drift model: An accelerated binomial scheme","Finance and Stochastics","bwl",\N
"48976","7261","","Psychology","1","48976","10.1007/s00780-013-0219-2","7","2014","0949-2984","Stochastic mortality models: An infinite-dimensional approach","Finance and Stochastics","bwl",\N
"48977","7262","","Business, Management and Accounting","35","48977","10.1007/s00780-016-0295-1","3","2016","0949-2984","Almost-sure hedging with permanent price impact","Finance and Stochastics","bwl",\N
